beacon_id,zone_name,zone_status,zone_id,station_id,clock,sub_station_id,direction,height_inches,pole_type,power_feed,mount_location,power_source,atd_location_id,created_date,created_by,modified_date,modified_by,am_start,am_end,pm_start,pm_end,pm_start_2,pm_end_2,location_name,location,latitude,longitude,unit_address,Source DB ID
7309-182-01,ALLISON,Active,7309,182,FALSE,1,EB,90.5,2_IN,OH,,AC,LOC17-010005,4/13/17 19:00,John Clary,4/13/17 19:00,John Clary,1492065900,1492072200,1492092000,1492100100,,,300 BLK VARGAS RD,"(30.23825243, -97.69052578)",30.23825243,-97.69052578,,
7505-298-01,WESTLAKE,Active,7505,298,FALSE,1,SB,119,4_IN,UG,,AC,LOC17-009690,4/13/17 19:00,John Clary,4/13/17 19:00,John Clary,1492066800,1492074000,1492082100,1492090200,1492095300,1492102500,600 BLK CAMP CRAFT RD,"(30.27761159, -97.81647267)",30.27761159,-97.81647267,,
7433-368-00,LIVE OAK EL/ DEER PARK MS,Active,7433,368,TRUE,0,NB,,,,,AC,LOC17-009175,4/13/17 19:00,John Clary,4/13/17 19:00,John Clary,1492066800,1492073100,1492093800,1492099200,,,12610 BLK TURTLE ROCK RD,"(30.45058436, -97.77257792)",30.45058436,-97.77257792,,
7433-364-00,LIVE OAK EL/ DEER PARK MS,Active,7433,364,TRUE,0,WB,,,,,AC,LOC17-009160,4/13/17 19:00,John Clary,4/13/17 19:00,John Clary,1492066800,1492073100,1492093800,1492099200,,,8864 BLK ANDERSON MILL RD,"(30.45389958, -97.77407374)",30.45389958,-97.77407374,,
7240-375-00,GUERRO-THOMPSON,Active,7240,375,TRUE,0,EB,,4_IN,,,AC,LOC17-009205,4/13/17 19:00,John Clary,4/13/17 19:00,John Clary,1492065900,1492070400,1492093800,1492097400,,,BLK,"(30.36683876, -97.69319698)",30.36683876,-97.69319698,,
7505-297-00,WESTLAKE,Active,7505,297,TRUE,0,EB,103,4_IN,UG,,AC,LOC17-009090,4/13/17 19:00,John Clary,4/13/17 19:00,John Clary,1492066800,1492074000,1492082100,1492090200,1492095300,1492102500,4200 BLK WESTBANK DR,"(30.27624566, -97.8168237)",30.27624566,-97.8168237,,
7213-095-01,BROWN,Active,7213,95,FALSE,1,SB,87,2_IN,UG,,AC,LOC17-009280,4/13/17 19:00,John Clary,4/13/17 19:00,John Clary,1492066800,1492070400,1492093800,1492097400,,,7718 BLK GUADALUPE ST,"(30.34568709, -97.70984172)",30.34568709,-97.70984172,,
7220-113-01,PEARCE,Active,7220,113,FALSE,1,,,,,,AC,LOC17-009950,4/13/17 19:00,John Clary,4/13/17 19:00,John Clary,1492065900,1492072200,1492093800,1492100100,,,2110 BLK GASTON PLACE DR,"(30.31191993, -97.68586194)",30.31191993,-97.68586194,,
7106-132-00,ZAVALA,Active,7106,132,TRUE,0,NB,85,2_IN,OH,,AC,LOC17-008210,4/13/17 19:00,John Clary,4/13/17 19:00,John Clary,1492065900,1492070400,1492092000,1492097400,,,200 BLK CHICON ST,"(30.2584169, -97.72398281)",30.2584169,-97.72398281,,
7313-285-00,PLEASANT HILL,Active,7313,285,TRUE,0,EB,100,4_IN,UG,,AC,LOC17-007810,4/13/17 19:00,John Clary,4/13/17 19:00,John Clary,1492065900,1492070400,1492093800,1492097400,,,101 BLK W WILLIAM CANNON DR,"(30.19323367, -97.77981128)",30.19323367,-97.77981128,,
7428-338-00,GRANDVIEW HILLS,Active,7428,338,TRUE,0,EB,88,4_IN,,,SOLAR,LOC17-009010,4/13/17 19:00,John Clary,4/13/17 19:00,John Clary,1492066800,1492070400,1492093800,1492097400,,,12101 BLK WILSON PARKE AVE,"(30.41791495, -97.85669717)",30.41791495,-97.85669717,,
7311-198-03,PALM,Active,7311,198,FALSE,3,SB,,,,,AC,LOC17-009545,4/13/17 19:00,John Clary,4/13/17 19:00,John Clary,1492065900,1492070400,1492093800,1492099200,,,7306 BLK SALT SPRINGS DR,"(30.16613524, -97.74133935)",30.16613524,-97.74133935,,
7524-277-00,SUNSET VALLEY,Active,7524,277,TRUE,0,NB,88,2_IN,OH,,AC,LOC17-007975,4/13/17 19:00,John Clary,4/13/17 19:00,John Clary,1492065900,1492070400,1492093800,1492097400,,,5100 BLK WEST GATE BLVD,"(30.22490813, -97.80419605)",30.22490813,-97.80419605,,
7118-266-00,CASIS,Active,7118,266,TRUE,0,EB,84,2_IN,UG,,AC,LOC17-008315,4/13/17 19:00,John Clary,4/13/17 19:00,John Clary,1492066800,1492070400,1492092900,1492097400,,,2700 BLK HILLVIEW RD,"(30.30313922, -97.76668031)",30.30313922,-97.76668031,,
7203-107-02,WINN,Active,7203,107,FALSE,2,,,,,,AC,LOC17-009230,4/13/17 19:00,John Clary,4/13/17 19:00,John Clary,1492065900,1492070400,1492093800,1492097400,,,3200 BLK SUSQUEHANNA LN,"(30.3134112, -97.66543937)",30.3134112,-97.66543937,,
7423-065-01,MCCALLUM,Active,7423,65,FALSE,1,NB,103,2_IN,OH,,,LOC17-010200,4/13/17 19:00,John Clary,4/13/17 19:00,John Clary,1492071300,1492074900,1492098300,1492101900,,,5500 BLK SUNSHINE DR,"(30.32484542, -97.73028858)",30.32484542,-97.73028858,,
7107-137-00,BROOKE,Active,7107,137,TRUE,0,SB,99,2_IN,OH,,AC,LOC17-008815,4/13/17 19:00,John Clary,4/13/17 19:00,John Clary,1492065900,1492070400,1492093800,1492097400,,,500 BLK TILLERY ST,"(30.25605051, -97.7068538)",30.25605051,-97.7068538,,
7312-201-01,LANGFORD,Active,7312,201,FALSE,1,NB,93.5,2_IN,UG,,AC,LOC17-009525,4/13/17 19:00,John Clary,4/13/17 19:00,John Clary,1492065900,1492070400,1492093800,1492097400,,,BLK,"(30.18186996, -97.76436679)",30.18186996,-97.76436679,,
7202-126-03,MAPLEWOOD,Active,7202,126,FALSE,3,SB,101,4_IN,OH,,AC,LOC17-009225,4/13/17 19:00,John Clary,4/13/17 19:00,John Clary,1492066800,1492070400,1492093800,1492097400,,,3900 BLK MAPLEWOOD AVE,"(30.29405367, -97.71339204)",30.29405367,-97.71339204,,
